Created on 07-22-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-07 02-AM,NEOUSD,36.61,36.95,36.61,36.85,54.2,1993.79
2018-07-07 01-AM,NEOUSD,37.4,37.46,36.6,36.61,537.89,19849.79
2018-07-07 12-AM,NEOUSD,37.79,37.92,37.16,37.4,256.59,9634.8
2018-07-06 11-PM,NEOUSD,37.91,37.91,37.5,37.79,791.34,29880.28
2018-07-06 10-PM,NEOUSD,38,38.08,37.64,37.91,162.55,6151.42
2018-07-06 09-PM,NEOUSD,37.66,38,37.55,38,2716.51,102618.08
2018-07-06 08-PM,NEOUSD,37.52,37.8,37.52,37.66,1402.87,52719.24
2018-07-06 07-PM,NEOUSD,37.41,37.52,37.14,37.52,262.08,9813.46
2018-07-06 06-PM,NEOUSD,37.51,37.8,36.97,37.41,510.28,19028.66
2018-07-06 05-PM,NEOUSD,37.56,38,37.08,37.51,1425.15,53477.08
2018-07-06 04-PM,NEOUSD,37.87,38,37.52,37.56,912.48,34586.61
2018-07-06 03-PM,NEOUSD,37.72,37.87,37.42,37.87,681,25719.64
2018-07-06 02-PM,NEOUSD,37.8,37.95,37.44,37.72,610.1,23025.62
2018-07-06 01-PM,NEOUSD,38.83,38.9,37.8,37.8,926.91,35548.16
2018-07-06 12-PM,NEOUSD,38,38.94,38,38.83,856.46,33185.06
2018-07-06 11-AM,NEOUSD,37.98,38.37,37.81,38,434.13,16541.62
2018-07-06 10-AM,NEOUSD,37.24,38.08,37.23,37.98,538.13,20340.1
2018-07-06 09-AM,NEOUSD,37.8,38.08,37.24,37.24,461.12,17424.67
2018-07-06 08-AM,NEOUSD,37.5,38.5,37.39,37.8,2391.21,91291.58
2018-07-06 07-AM,NEOUSD,37.05,37.8,37,37.5,2817.39,104640.05
2018-07-06 06-AM,NEOUSD,37.75,37.97,37.05,37.05,744.84,27919.7
2018-07-06 05-AM,NEOUSD,38.61,38.61,37.75,37.75,750.12,28613.83
2018-07-06 04-AM,NEOUSD,38.53,38.67,37.71,38.61,2944.09,112177.56
2018-07-06 03-AM,NEOUSD,39,39.33,38.5,38.53,474.92,18480.74
2018-07-06 02-AM,NEOUSD,38.96,39.29,38.96,39,187.64,7324.01
2018-07-06 01-AM,NEOUSD,39.75,39.81,38.95,38.96,1052.44,41217.56
2018-07-06 12-AM,NEOUSD,40.54,40.54,39.75,39.75,390.11,15616.34
2018-07-05 11-PM,NEOUSD,40.15,40.58,39.86,40.54,1715.48,69024.95
2018-07-05 10-PM,NEOUSD,39.25,40.15,39.15,40.15,858.83,33903.86
2018-07-05 09-PM,NEOUSD,39.3,39.82,39.25,39.25,940.63,37026.06
2018-07-05 08-PM,NEOUSD,40,40.15,39.3,39.3,1476.72,58287.21
2018-07-05 07-PM,NEOUSD,40,40,39.3,40,955.67,37896.31
2018-07-05 06-PM,NEOUSD,41.21,41.21,39.7,40,1913.2,76759.87
2018-07-05 05-PM,NEOUSD,41.62,41.62,40.79,41.21,2884.2,118869.47
2018-07-05 04-PM,NEOUSD,41.68,42.28,41.32,41.62,823.29,34573.31
2018-07-05 03-PM,NEOUSD,41.3,41.68,40.5,41.68,1226.84,50301.02
